(i(yvlg1.p)) (REAL.A)      (v(p)) (REAL.V)
           -4.99748u             -2.79266
           -5.06199u             -2.82843
           -5.09396u             -2.84614
           -5.15732u             -2.88124
           -5.18871u             -2.89861
           -5.25090u             -2.93302
           -5.28170u             -2.95005
           -5.34270u             -2.98376
           -5.37289u             -3.00044
           -5.43269u             -3.03345
           -5.46228u             -3.04977
           -5.52084u             -3.08205
           -5.54981u             -3.09801
           -5.60713u             -3.12956
           -5.63547u             -3.14515
           -5.69151u             -3.17596
           -5.80101u             -3.23607
           -5.82783u             -3.25078
           -5.88078u             -3.27981
           -5.98335u             -3.33631
           -6.00818u             -3.35011
           -6.05615u             -3.37731
           -6.13518u             -3.43011
           -6.14916u             -3.44297
           -6.15892u             -3.46410
           -6.14701u             -3.47660
           -6.10263u             -3.50118
           -6.02851u             -3.51327
           -5.90933u             -3.52521
           -5.72605u             -3.53702
           -5.45354u             -3.54869
           -5.06011u             -3.56021
           -4.50930u             -3.57160
           -3.76653u             -3.58285
           -2.81539u             -3.59395
           -1.69069u             -3.60491
         -535.93327n             -3.61573
          -76.54560n             -3.62641
          -78.03869n             -3.63694
          -79.53991n             -3.64733
          -82.56268n             -3.66767
          -84.96424n             -3.68331
          -89.79965n             -3.71350
          -99.50729n             -3.76949
         -101.03936n             -3.77782
         -104.08908n             -3.79404
         -110.10331n             -3.82468
         -118.26755n             -3.86370
         -122.14851n             -3.88132
         -129.43729n             -3.91294
         -140.41004n             -3.95733
         -141.33511n             -3.96092
         -143.08047n             -3.96761
         -146.13153n             -3.97913
         -150.33666n             -3.99461
         -151.83036n             -4.00000
         -151.56147n             -3.99903
         -149.42817n             -3.99130
         -142.88418n             -3.96686
         -132.76191n             -3.92677
         -131.58348n             -3.92191
         -129.14792n             -3.91172
         -123.98962n             -3.88948
         -118.26755n             -3.86370
         -114.25906n             -3.84489
         -105.95025n             -3.80371
         -104.43616n             -3.79586
         -101.38898n             -3.77970
          -95.24577n             -3.74561
          -82.96909n             -3.67035
          -81.45205n             -3.66029
          -78.43825n             -3.63973
          -72.51143n             -3.59689
          -71.05456n             -3.58582
          -68.17485n             -3.56327
          -62.56673n             -3.51647
          -61.19910n             -3.50442
          -58.50821n             -3.47991
          -56.83575n             -3.46410
          -55.53336n             -3.45147
          -52.97757n             -3.42579
          -48.06981n             -3.37282
          -46.88671n             -3.35924
          -44.57446n             -3.33168
          -40.16948n             -3.27501
          -39.11452n             -3.26051
          -37.06055n             -3.23114
          -33.17658n             -3.17086
          -32.25212n             -3.15548
          -30.45864n             -3.12434
          -27.09088n             -3.06058
          -26.29393n             -3.04434
          -24.75303n             -3.01150
          -24.00876n             -2.99490
          -22.57171n             -2.96134
          -21.87856n             -2.94439
          -20.54203n             -2.91013
          -19.89823n             -2.89283
          -18.65850n             -2.85789
          -18.06212n             -2.84025
          -16.91516n             -2.80463
          -16.36412n             -2.78666
          -15.30571n             -2.75038
          -14.79784n             -2.73208
          -13.82354n             -2.69515
          -13.35661n             -2.67652
          -12.46193n             -2.63896
          -12.03366n             -2.62002
          -11.21402n             -2.58183
          -10.82214n             -2.56258
          -10.07298n             -2.52379
           -9.71520n             -2.50424
           -9.03200n             -2.46485
           -8.70608n             -2.44500
           -8.08440n             -2.40503
           -7.78816n             -2.38490
           -7.22367n             -2.34436
           -6.95496n             -2.32395
           -6.44346n             -2.28285
           -6.20023n             -2.26217
           -5.73770n             -2.22054
           -5.51797n             -2.19959
           -5.10053n             -2.15744
           -4.90242n             -2.13623
           -4.52642n             -2.09356
           -4.34813n             -2.07211
           -4.17608n             -2.05057
           -4.01007n             -2.02895
           -3.84993n             -2.00725
           -3.69548n             -1.98547
           -3.54654n             -1.96362
           -3.40295n             -1.94168
           -3.26454n             -1.91967
           -3.13116n             -1.89758
           -3.00263n             -1.87542
           -2.87881n             -1.85318
           -2.75955n             -1.83087
           -2.64471n             -1.80849
           -2.53413n             -1.78604
           -2.42768n             -1.76352
           -2.32522n             -1.74092
           -2.22662n             -1.71826
           -2.13175n             -1.69553
           -2.04049n             -1.67274
           -1.95271n             -1.64987
           -1.86830n             -1.62695
           -1.78714n             -1.60395
           -1.70911n             -1.58090
           -1.63411n             -1.55778
           -1.56204n             -1.53460
           -1.49278n             -1.51136
           -1.42624n             -1.48806
           -1.36232n             -1.46471
           -1.30093n             -1.44129
           -1.24198n             -1.41782
           -1.18538n             -1.39429
           -1.13104n             -1.37070
           -1.07889n             -1.34707
           -1.02883n             -1.32338
         -980.79096p             -1.29963
         -934.70167p             -1.27584
         -890.48644p             -1.25199
         -848.07481p             -1.22810
         -807.39862p             -1.20415
         -768.39199p             -1.18016
         -730.99124p             -1.15613
         -695.13482p             -1.13204
         -660.76331p             -1.10792
         -627.81927p             -1.08375
         -596.24728p             -1.05953
         -565.99383p             -1.03528
         -537.00727p             -1.01098
         -509.23778p          -986.64299m
         -482.63729p          -962.26749m
         -457.15947p          -937.85400m
         -432.75962p          -913.40348m
         -409.39468p          -888.91691m
         -387.02314p          -864.39524m
         -365.60501p          -839.83944m
         -345.10177p          -815.25049m
         -325.47633p          -790.62936m
